ID,תאריך הגשת הבקשה,מס' סימוכין,חברה,סוג  היתר,מספר האתר,ישוב,כתובת + תאור,סוג המוקד,X_ITM,Y_ITM,תחום שיפוט
261,18/10/2023,2071950,PHI (משרת את הוט ופרטנר),היתר הקמה,JS1305E,באר שבע,מרכז הטניס באר שבע,קרקעי,179610,574068,באר שבע
262,22/10/2023,2071996,סלקום,היתר הקמה,22216,שפיר,שטח חקלאי מערבית לכביש 40 ולשכונת כרמי גת,תורן קרקעי,177838,615569,קרית גת
264,22/10/2023,2071974,PHI (משרת את הוט ופרטנר),היתר הקמה,EA2341D,אביעזר,אביעזר מחצבות שפיר,גג,204651,621035,מטה יהודה
265,22/10/2023,2071980,פלאפון,היתר הקמה,814270,ראשון לציון,כתובת: היוזמה 2,פריסה פנימית,178519,650832,ראשון לציון
267,24/10/2023,2072009,PHI (משרת את הוט ופרטנר),היתר הקמה,EI2073B,ירושלים,ביהח הדסה הר הצופים,גג,223082,633863,ירושלים
268,24/10/2023,2072006,PHI (משרת את הוט ופרטנר),היתר הקמה,SO5961A,באר שבע,אמפיפארק באר שבע,קרקעי,181417,571433,באר שבע
269,24/10/2023,2072010,PHI (משרת את הוט ופרטנר),היתר הקמה,NS4736D,חריש,רחוב גפן 78,גג,204133,707229,קציר חריש
270,24/10/2023,2072007,PHI (משרת את הוט ופרטנר),היתר הקמה,SO5962A,באר שבע,פארק הנחל באר שבע,קרקעי,183824,572138,באר שבע
271,25/10/2023,2072027,פלאפון,היתר הקמה,540587,רמת גן,"בית הורים ע""ש אניטה מילר ברחוב רזיאל 28",עוקצים,183379,662523,רמת גן
272,25/10/2023,2072039,סלקום,היתר הקמה,23141,יזרעאל,בסמוך לבית העלמין אלוני אבא,תורן קרקעי,217042,737573,עמק יזרעאל
273,26/10/2023,2072047,סלקום,היתר הקמה,22772,רמת גן,בניין גרטנר קרית מדע 5 בית חולים תל השומר רמת גן,אתר זעיר פנימי,185438,661785,רמת גן
274,29/10/2023,2072074,פלאפון,היתר הקמה,634213,עראבה,רח' באב אל עאמוד  על גג עיריית העראבה,תורן על מבנה,231175,751432,עראבה
275,29/10/2023,2071909,PHI (משרת את הוט ופרטנר),היתר הקמה,WE0966C,גבעתיים,גבעתיים רמה,גג,182750,664400,גבעתיים
276,30/10/2023,2072099,סלקום,היתר הקמה,23319,אשכול,סילו בישוב גבולות,עוקץ,149213,569077,אשכול
277,30/10/2023,2072098,סלקום,היתר הקמה,6951,כפר תבור,מבנה מול תבור ברחוב בזלת 2 בכפר תבור,עוקץ,239605,733204,כפר תבור
279,31/10/2023,2072090,PHI (משרת את הוט ופרטנר),היתר הקמה,SO5478I,אילת,פארק הקרח אילת,גג,196314,385169,אילת
280,31/10/2023,2072089,PHI (משרת את הוט ופרטנר),היתר הקמה,EA2115F,ירושלים,בית אבות נופים,גג,216267,629954,ירושלים
281,31/10/2023,2072091,PHI (משרת את הוט ופרטנר),היתר הקמה,SO5666C,ירוחם,עיר הבהדים על תורן פלאפון,קרקעי,185911,552137,רמת הנגב
283,31/10/2023,2072111,PHI (משרת את הוט ופרטנר),היתר הקמה,EA2319B,ירושלים,שכונת נווה יעקב,גג,222429,638628,ירושלים
285,11/1/2023,2072153,פלאפון,היתר הקמה,420865,דלית אל כרמל,צפון דליית אל כרמל,עוקצים,205878,734245,דאלית אל כרמל עספיא
287,11/2/2023,2072190,PHI (משרת את הוט ופרטנר),היתר הקמה,SO5974B,מצפה רמון,רמון,קרקעי,168679,519499,רמת הנגב
289,11/5/2023,2072215,סלקום,היתר הקמה,23001,אור יהודה,בסמוך לרחוב כנרת באור יהודה,תורן קרקעי,185114,659440,אור יהודה
290,11/5/2023,2072194,PHI (משרת את הוט ופרטנר),היתר הקמה,WE3633D,רמלה,פיקוד העורף רמלה,גג,188559,647126,גזר
291,11/5/2023,2072195,פלאפון,היתר הקמה,132873,מעברים יבשתיים,מעבר חשמונאים,תורן על מבנה,203237,649669,מטה בנימין
292,11/5/2023,2072216,סלקום,היתר הקמה,23181,כפר קאסם,מבנה בשכונת הבדואים בסמוך לרחוב אבן תיימיה בכפר קאסם,עוקץ,198403,668624,כפר קאסם
293,11/5/2023,2072193,PHI (משרת את הוט ופרטנר),היתר הקמה,NN0644A,עמיר,עמיר תורן סלקום,קרקעי,258725,786406,הגליל העליון
294,11/5/2023,2072214,סלקום,היתר הקמה,22615,קרית מוצקין,חי פארקפארק עירוני בקרית מוצקין,תורן קרקעי,207789,750199,קרית מוצקין
295,11/6/2023,2072221,PHI (משרת את הוט ופרטנר),היתר הקמה,WE3979C,ראשון לציון,צריפין  בניין משא,גג,184580,652757,ראשון לציון
296,11/7/2023,2072244,סלקום,היתר הקמה,21067,רעננה,הייטק פארק רעננה רחוב זרחין 13.,אתר זעיר פנימי,189070,678270,רעננה
297,11/7/2023,2072231,PHI (משרת את הוט ופרטנר),היתר הקמה,WE0780E,רמת גן,בית הרופאים,גג,185885,662204,רמת גן
300,11/8/2023,2072260,פלאפון,היתר הקמה,360386,חולון,רחוב הדר 15,עוקצים,177994,659642,חולון
301,11/8/2023,2072255,פלאפון,היתר הקמה,160506,הר חברון,על כביש 356 בכיכר בית חגי מזרח בין פני חבר,תורן קרקעי,212672,601348,הר חברון
302,11/8/2023,2072233,PHI (משרת את הוט ופרטנר),היתר הקמה,WI6366B,פתח-תקווה,בית חולים בלינסון,פנימי,187704,666249,פתח תקווה
303,11/8/2023,2072259,פלאפון,היתר הקמה,354417,אלעד,רחוב שמעיה 14א',עוקצים,194980,662157,אלעד
305,11/9/2023,2072277,PHI (משרת את הוט ופרטנר),היתר הקמה,NN4139E,דיר אל-אסד,מוסך,גג,226183,758954,שגור
306,11/9/2023,2072280,PHI (משרת את הוט ופרטנר),היתר הקמה,WE6132C,ראש העין,סקייט פארק,קרקעי,197257,666542,ראש העין
308,11/12/2023,2072304,פלאפון,היתר הקמה,330857,תל אביב יפו,"תש""ח 2",תורן על מבנה,180058,665785,תל אביב יפו
309,11/12/2023,2072320,סלקום,היתר הקמה,23294,מודיעין-מכבים-רעות,בהצתלבות רחובות יצחק שמיר וחיים הרצוג מודיעין,תורן קרקעי,198249,645565,מודיעין מכבים רעות
311,11/12/2023,2072303,פלאפון,היתר הקמה,216841,מטה יהודה,בשטחים חקלאיים 120 מ צפונית מזרחית לתורן הנוכחי,תורן קרקעי,210604,635772,מטה יהודה
312,11/12/2023,2072319,סלקום,היתר הקמה,23293,מודיעין-מכבים-רעות,בהצתלבות רחובות חיים ויצמן ויצחק נבון מודיעין,תורן קרקעי,199112,645608,מודיעין מכבים רעות
313,11/12/2023,2072290,PHI (משרת את הוט ופרטנר),היתר הקמה,NC0504H,חיפה,הנביאים 32 חיפה,גג,199765,746382,חיפה
